Year,Month,Flops
1993,06,4000000000.0
1993,11,5000000000.0
1994,06,8000000000.0
1994,11,12000000000.0
1995,06,20000000000.0
1995,11,25000000000.0
1996,06,33000000000.0
1996,11,46000000000.0
1997,06,77000000000.0
1997,11,95000000000.0
1998,06,134000000000.0
1998,11,171000000000.0
1999,06,247000000000.0
1999,11,331000000000.0
2000,06,438000000000.0
2000,11,553000000000.0
2001,06,678000000000.0
2001,11,943000000000.0
2002,06,1343000000000.0
2002,11,1958000000000.0
2003,06,2414000000000.0
2003,11,3786000000000.0
2004,06,6069000000000.0
2004,11,8400000000000.0
2005,06,12000000000000.0
2005,11,16000000000000.0
2006,06,20000000000000.0
2006,11,27000000000000.0
2007,06,40000000000000.0
2007,11,59000000000000.0
2008,06,90000000000000.0
2008,11,126000000000000.0
2009,06,171000000000000.0
2009,11,201000000000000.0
2010,06,247000000000000.0
2010,11,311000000000000.0
2011,06,402000000000000.0
2011,11,509000000000000.0
2012,06,608000000000000.0
2012,11,764000000000000.0
2013,06,966000000000000.0
2013,11,1180000000000000.0
2014,06,1342000000000000.0
2014,11,1534000000000000.0
2015,06,1648000000000000.0
2015,11,2064000000000000.0
2016,06,2862000000000000.0
2016,11,3504000000000000.0
2017,06,4333000000000000.0
2017,11,5487000000000000.0
2018,06,7156000000000000.0
2018,11,8748000000000000.0
2019,06,1e+16
2019,11,1.1e+16
2020,06,1.2e+16
